No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
498,Jawa Timur,8/31/2023,16.4,14.65,1764
499,Jawa Timur,9/1/2023,16.44,14.74,1735
500,Jawa Timur,9/2/2023,16.47,14.7,1731
501,Jawa Timur,9/3/2023,16.31,14.81,1740
502,Jawa Timur,9/4/2023,16.31,14.57,1734
503,Jawa Timur,9/5/2023,16.31,14.67,1732
504,Jawa Timur,9/6/2023,16.26,14.62,1736
505,Jawa Timur,9/7/2023,16.24,14.64,1735
506,Jawa Timur,9/8/2023,16.13,14.61,2661
507,Jawa Timur,9/9/2023,16.15,14.62,1732
508,Jawa Timur,9/10/2023,16.22,14.65,1711
509,Jawa Timur,9/11/2023,16.14,14.66,1720
510,Jawa Timur,9/12/2023,16.22,14.59,1719
511,Jawa Timur,9/13/2023,16.28,14.58,1725
512,Jawa Timur,9/14/2023,16.24,14.56,1734
513,Jawa Timur,9/15/2023,16.06,14.57,1739
514,Jawa Timur,9/16/2023,16.24,14.64,1744
515,Jawa Timur,9/17/2023,16.2,14.57,1737
516,Jawa Timur,9/18/2023,16.16,14.58,1743
517,Jawa Timur,9/19/2023,16.08,14.64,1745
518,Jawa Timur,9/20/2023,16.33,14.62,1728
519,Jawa Timur,9/21/2023,16.28,14.66,1749
520,Jawa Timur,9/22/2023,16.22,14.61,1739
521,Jawa Timur,9/23/2023,16.25,14.63,1729
522,Jawa Timur,9/24/2023,16.3,14.71,1742
523,Jawa Timur,9/25/2023,16.26,14.64,1743
524,Jawa Timur,9/26/2023,16.08,14.7,1745
525,Jawa Timur,9/27/2023,16.2,14.61,1746
526,Jawa Timur,9/28/2023,16.09,14.75,1993
527,Jawa Timur,9/29/2023,16.2,14.56,1750
528,Jawa Timur,9/30/2023,16.12,14.59,1756
529,Jawa Timur,10/1/2023,16.18,14.59,1755
530,Jawa Timur,10/2/2023,16.33,14.59,1761
531,Jawa Timur,10/3/2023,16.32,14.63,1759
532,Jawa Timur,10/4/2023,16.23,14.61,1759
533,Jawa Timur,10/5/2023,16.17,14.66,1761
534,Jawa Timur,10/6/2023,16.12,14.63,1760
535,Jawa Timur,10/7/2023,16.18,14.6,1762
536,Jawa Timur,10/8/2023,16.09,14.6,1756
537,Jawa Timur,10/9/2023,16.2,14.71,1763
538,Jawa Timur,10/10/2023,16.21,14.66,1756
539,Jawa Timur,10/11/2023,16.16,14.51,2336
540,Jawa Timur,10/12/2023,16.14,14.61,1757
541,Jawa Timur,10/13/2023,16.13,14.65,1755
542,Jawa Timur,10/14/2023,16.06,14.61,1764
543,Jawa Timur,10/15/2023,16.14,14.67,1759
544,Jawa Timur,10/16/2023,16.01,14.59,1770
545,Jawa Timur,10/17/2023,16.11,14.57,1772
546,Jawa Timur,10/18/2023,16.18,14.61,1771
547,Jawa Timur,10/19/2023,16.09,14.63,1779
548,Jawa Timur,10/20/2023,16.09,14.54,1779
549,Jawa Timur,10/21/2023,16.14,14.59,1764
550,Jawa Timur,10/22/2023,16.12,14.59,1776
551,Jawa Timur,10/23/2023,16.04,14.6,1783
552,Jawa Timur,10/24/2023,16.01,14.51,1789
553,Jawa Timur,10/25/2023,16.14,14.56,1780
554,Jawa Timur,10/26/2023,16.13,14.53,1780
555,Jawa Timur,10/27/2023,16.01,14.55,1773
556,Jawa Timur,10/28/2023,16.07,14.53,1780
557,Jawa Timur,10/29/2023,16.03,14.62,1779
558,Jawa Timur,10/30/2023,16.08,14.62,1781
559,Jawa Timur,10/31/2023,16.09,14.62,1782
560,Jawa Timur,11/1/2023,15.98,14.64,1785
561,Jawa Timur,11/2/2023,16.19,14.61,1782
562,Jawa Timur,11/3/2023,15.88,14.61,1788
563,Jawa Timur,11/4/2023,16.2,14.66,1795
564,Jawa Timur,11/5/2023,15.91,14.62,1789
565,Jawa Timur,11/6/2023,16.02,14.67,1789
566,Jawa Timur,11/7/2023,15.95,14.64,1791
567,Jawa Timur,11/8/2023,15.97,14.69,1803
568,Jawa Timur,11/9/2023,16.05,14.53,1964
569,Jawa Timur,11/10/2023,15.97,14.63,1804
570,Jawa Timur,11/11/2023,16.07,14.63,1805
571,Jawa Timur,11/12/2023,16.11,14.73,1802
572,Jawa Timur,11/13/2023,15.98,14.67,1810
573,Jawa Timur,11/14/2023,15.86,14.62,1815
574,Jawa Timur,11/15/2023,16.06,14.64,2420
575,Jawa Timur,11/16/2023,16.09,14.64,1832
576,Jawa Timur,11/17/2023,15.97,14.65,1834
577,Jawa Timur,11/18/2023,16.06,14.6,1839
578,Jawa Timur,11/19/2023,16.19,14.65,1839
579,Jawa Timur,11/20/2023,16.13,14.66,1831
580,Jawa Timur,11/21/2023,16.15,14.6,1834
581,Jawa Timur,11/22/2023,16.17,14.67,1843
582,Jawa Timur,11/23/2023,15.94,14.54,1838
583,Jawa Timur,11/24/2023,16.14,14.65,1857
584,Jawa Timur,11/25/2023,16.2,14.66,1854
585,Jawa Timur,11/26/2023,16.14,14.63,1855
586,Jawa Timur,11/27/2023,16.13,14.63,1841
587,Jawa Timur,11/28/2023,16.14,14.55,1845
588,Jawa Timur,11/29/2023,16.21,14.64,1847
589,Jawa Timur,11/30/2023,16.04,14.67,1844
590,Jawa Timur,12/1/2023,16.16,14.61,1849
591,Jawa Timur,12/2/2023,16.02,14.56,1857
592,Jawa Timur,12/3/2023,16.11,14.65,1843
593,Jawa Timur,12/4/2023,16.05,14.66,1850
594,Jawa Timur,12/5/2023,16.1,14.72,1838
595,Jawa Timur,12/6/2023,16.06,14.53,1848
596,Jawa Timur,12/7/2023,16.09,14.64,1846
597,Jawa Timur,12/8/2023,16.1,14.75,1843
598,Jawa Timur,12/9/2023,16,14.4,1849
599,Jawa Timur,12/10/2023,16.18,14.71,1834
600,Jawa Timur,12/11/2023,16.17,14.59,1852
601,Jawa Timur,12/12/2023,16.09,14.74,1845
602,Jawa Timur,12/13/2023,16.05,14.74,1848
603,Jawa Timur,12/14/2023,16.13,14.71,1852
604,Jawa Timur,12/15/2023,16.18,14.77,1853
605,Jawa Timur,12/16/2023,16.1,14.7,1865
606,Jawa Timur,12/17/2023,16.21,14.85,1856
607,Jawa Timur,12/18/2023,16.07,14.76,1856
608,Jawa Timur,12/19/2023,15.96,14.72,1857
609,Jawa Timur,12/20/2023,16.07,14.82,1852
610,Jawa Timur,12/21/2023,16,14.72,1858
611,Jawa Timur,12/22/2023,16,14.77,1855
612,Jawa Timur,12/23/2023,15.91,14.75,1853
613,Jawa Timur,12/24/2023,15.91,14.76,1854
614,Jawa Timur,12/25/2023,15.91,14.71,1853
615,Jawa Timur,12/26/2023,15.96,14.75,1855
616,Jawa Timur,12/27/2023,15.92,14.7,1855
617,Jawa Timur,12/28/2023,15.83,14.69,1867
618,Jawa Timur,12/29/2023,15.87,14.66,1869
619,Jawa Timur,12/30/2023,16,14.78,1869
620,Jawa Timur,12/31/2023,16.01,14.69,1866
621,Jawa Timur,1/1/2024,15.94,14.71,1810
622,Jawa Timur,1/2/2024,15.96,14.69,2985
623,Jawa Timur,1/3/2024,15.97,14.64,2063
624,Jawa Timur,1/4/2024,15.97,14.57,1857
625,Jawa Timur,1/5/2024,15.93,14.74,1850
626,Jawa Timur,1/6/2024,15.87,14.64,1933
627,Jawa Timur,1/7/2024,15.9,14.65,1853
628,Jawa Timur,1/8/2024,15.85,14.64,1856
629,Jawa Timur,1/9/2024,16,14.68,1838
630,Jawa Timur,1/10/2024,15.91,14.63,1854
631,Jawa Timur,1/11/2024,15.94,14.6,1865
632,Jawa Timur,1/12/2024,16.06,14.65,1865
633,Jawa Timur,1/13/2024,16.08,14.65,1861
634,Jawa Timur,1/14/2024,15.94,14.62,1881
635,Jawa Timur,1/15/2024,16.01,14.63,1882
636,Jawa Timur,1/16/2024,15.95,14.65,1882
637,Jawa Timur,1/17/2024,15.94,14.71,1884
638,Jawa Timur,1/18/2024,15.93,14.62,1889
639,Jawa Timur,1/19/2024,16.01,14.71,1889
640,Jawa Timur,1/20/2024,16.05,14.71,1899
641,Jawa Timur,1/21/2024,16.09,14.76,1884
642,Jawa Timur,1/22/2024,16.05,14.75,1900
643,Jawa Timur,1/23/2024,16.15,14.63,1941
644,Jawa Timur,1/24/2024,16.08,14.78,1903
645,Jawa Timur,1/25/2024,16.14,14.94,1902
646,Jawa Timur,1/26/2024,16.08,14.89,1907
647,Jawa Timur,1/27/2024,16.08,14.87,1900
648,Jawa Timur,1/28/2024,16.05,14.89,1898
649,Jawa Timur,1/29/2024,16.05,14.92,1912
650,Jawa Timur,1/30/2024,16.09,14.92,1915
651,Jawa Timur,1/31/2024,16.13,14.93,1910
652,Jawa Timur,2/1/2024,16,14.86,1951
653,Jawa Timur,2/2/2024,16.01,14.89,1948
654,Jawa Timur,2/3/2024,16.01,14.96,1947
655,Jawa Timur,2/4/2024,16.08,14.96,1974
656,Jawa Timur,2/5/2024,15.94,14.96,1933
657,Jawa Timur,2/6/2024,16.11,15.03,1941
658,Jawa Timur,2/7/2024,16.08,15.03,1956
659,Jawa Timur,2/8/2024,16.06,15.03,1946
660,Jawa Timur,2/9/2024,16.05,14.74,1951
661,Jawa Timur,2/10/2024,16.52,15.17,1954
662,Jawa Timur,2/11/2024,16.03,15.01,1949
663,Jawa Timur,2/12/2024,16.11,14.96,1948
664,Jawa Timur,2/13/2024,16.08,15.02,1954
665,Jawa Timur,2/14/2024,16.26,15,1951
666,Jawa Timur,2/15/2024,16.11,15.11,1956
667,Jawa Timur,2/16/2024,16.11,15.07,1957
668,Jawa Timur,2/17/2024,16.1,15.13,1962
669,Jawa Timur,2/18/2024,16.22,15.16,1959
670,Jawa Timur,2/19/2024,16.14,15.14,1949
671,Jawa Timur,2/20/2024,16.12,15.18,1957
672,Jawa Timur,2/21/2024,16.11,15.13,1968
673,Jawa Timur,2/22/2024,16.22,15.18,1970
674,Jawa Timur,2/23/2024,16.15,15.13,1974
675,Jawa Timur,2/24/2024,16.11,15.15,1967
676,Jawa Timur,2/25/2024,16.2,15.19,1967
677,Jawa Timur,2/26/2024,16.22,15.21,1951
678,Jawa Timur,2/27/2024,16.28,15.34,1976
679,Jawa Timur,2/28/2024,16.17,15.17,1981
680,Jawa Timur,2/29/2024,16.26,15.18,1850
681,Jawa Timur,3/1/2024,16.17,15.16,2016
682,Jawa Timur,3/2/2024,16.27,15.24,2018
683,Jawa Timur,3/3/2024,16.18,15.3,2018
684,Jawa Timur,3/4/2024,16.19,15.31,2008
685,Jawa Timur,3/5/2024,16.28,15.33,2011
686,Jawa Timur,3/6/2024,16.33,15.37,2017
687,Jawa Timur,3/7/2024,16.35,15.38,2013
688,Jawa Timur,3/8/2024,16.27,15.38,2010
689,Jawa Timur,3/9/2024,16.33,15.39,2028
690,Jawa Timur,3/10/2024,16.52,15.38,2024
691,Jawa Timur,3/11/2024,16.35,15.43,2024
692,Jawa Timur,3/12/2024,16.41,15.39,2041
693,Jawa Timur,3/13/2024,16.3,15.31,2030
694,Jawa Timur,3/14/2024,16.35,15.42,2042
695,Jawa Timur,3/15/2024,16.36,15.51,2040
696,Jawa Timur,3/16/2024,16.39,15.52,2056
697,Jawa Timur,3/17/2024,16.38,15.56,2053
698,Jawa Timur,3/18/2024,16.35,15.6,2053
699,Jawa Timur,3/19/2024,16.39,15.67,2075
700,Jawa Timur,3/20/2024,16.36,15.67,2071
701,Jawa Timur,3/21/2024,16.53,15.69,2078
702,Jawa Timur,3/22/2024,16.43,15.75,2084
703,Jawa Timur,3/23/2024,16.45,15.74,2232
704,Jawa Timur,3/24/2024,16.5,15.85,2082
705,Jawa Timur,3/25/2024,16.46,15.84,2095
706,Jawa Timur,3/26/2024,16.49,15.94,2100
707,Jawa Timur,3/27/2024,16.48,16.01,2108
708,Jawa Timur,3/28/2024,16.57,16,2101
709,Jawa Timur,3/29/2024,16.61,15.93,2104
710,Jawa Timur,3/30/2024,16.55,16.08,2096
711,Jawa Timur,3/31/2024,16.56,16.08,2092
712,Jawa Timur,4/1/2024,16.75,16.01,2114
713,Jawa Timur,4/2/2024,16.67,16.14,2108
714,Jawa Timur,4/3/2024,16.61,16.04,2113
715,Jawa Timur,4/4/2024,16.6,16.05,2115
716,Jawa Timur,4/5/2024,16.62,16,2109
717,Jawa Timur,4/6/2024,16.62,16.03,2091
718,Jawa Timur,4/7/2024,16.62,16.13,2096
719,Jawa Timur,4/8/2024,16.72,15.99,2100
720,Jawa Timur,4/9/2024,16.83,16.09,2092
721,Jawa Timur,4/10/2024,15.75,16.49,2090
722,Jawa Timur,4/11/2024,16.17,15.86,2097
723,Jawa Timur,4/12/2024,16.65,16.04,2100
724,Jawa Timur,4/13/2024,16.74,16.08,2097
725,Jawa Timur,4/14/2024,16.74,16.07,2098
726,Jawa Timur,4/15/2024,16.73,16.05,2103
727,Jawa Timur,4/16/2024,16.69,16.01,2106
728,Jawa Timur,4/17/2024,16.73,15.96,2097
729,Jawa Timur,4/18/2024,16.71,16.03,2106
730,Jawa Timur,4/19/2024,16.76,16.05,2099
731,Jawa Timur,4/20/2024,16.78,15.96,2090
732,Jawa Timur,4/21/2024,16.84,16.11,2090
733,Jawa Timur,4/22/2024,16.8,16.14,2096
734,Jawa Timur,4/23/2024,16.84,16.11,2085
735,Jawa Timur,4/24/2024,16.9,16.17,2079
736,Jawa Timur,4/25/2024,16.75,16.08,2079
737,Jawa Timur,4/26/2024,16.81,16.14,2070
738,Jawa Timur,4/27/2024,16.86,15.91,2066
739,Jawa Timur,4/28/2024,16.74,16.11,2066
740,Jawa Timur,4/29/2024,16.81,16.15,2061
741,Jawa Timur,4/30/2024,16.74,16.17,2074
742,Jawa Timur,5/1/2024,16.65,16.06,2060
743,Jawa Timur,5/2/2024,16.76,16.05,2061
744,Jawa Timur,5/3/2024,16.78,16.03,2061
745,Jawa Timur,5/4/2024,16.78,15.9,2059
746,Jawa Timur,5/5/2024,16.79,15.88,2052
747,Jawa Timur,5/6/2024,16.78,15.88,2059
748,Jawa Timur,5/7/2024,16.85,15.86,2050
749,Jawa Timur,5/8/2024,16.77,15.91,2055
750,Jawa Timur,5/9/2024,16.67,15.81,2046
751,Jawa Timur,5/10/2024,16.73,15.76,2042
752,Jawa Timur,5/11/2024,16.8,15.78,2038
753,Jawa Timur,5/12/2024,16.78,15.88,2039
754,Jawa Timur,5/13/2024,16.73,15.83,1043
755,Jawa Timur,5/14/2024,16.7,15.78,2048
756,Jawa Timur,5/15/2024,16.72,15.79,2053
757,Jawa Timur,5/16/2024,16.75,15.6,2043
758,Jawa Timur,5/17/2024,16.69,15.71,2044
759,Jawa Timur,5/18/2024,16.77,15.77,2045
760,Jawa Timur,5/19/2024,16.73,15.76,2045
761,Jawa Timur,5/20/2024,16.69,15.71,2042
762,Jawa Timur,5/21/2024,16.52,15.79,2043
763,Jawa Timur,5/22/2024,16.58,15.62,2166
764,Jawa Timur,5/23/2024,16.56,15.79,2034
765,Jawa Timur,5/24/2024,16.59,15.78,2037
766,Jawa Timur,5/25/2024,16.69,15.61,2031
767,Jawa Timur,5/26/2024,16.68,15.75,2037
768,Jawa Timur,5/27/2024,16.73,15.72,2042
769,Jawa Timur,5/28/2024,16.56,15.7,2041
770,Jawa Timur,5/29/2024,16.7,15.61,2046
771,Jawa Timur,5/30/2024,16.67,15.73,2031
772,Jawa Timur,5/31/2024,16.65,15.61,2022
773,Jawa Timur,6/1/2024,16.69,15.67,2064
774,Jawa Timur,6/2/2024,16.64,15.73,2063
775,Jawa Timur,6/3/2024,16.6,15.71,2086
776,Jawa Timur,6/4/2024,16.67,15.7,2082
777,Jawa Timur,6/5/2024,16.58,15.76,2089
778,Jawa Timur,6/6/2024,16.59,15.71,2090
779,Jawa Timur,6/7/2024,16.59,15.68,2089
780,Jawa Timur,6/8/2024,16.66,15.61,2095
781,Jawa Timur,6/9/2024,16.59,15.68,2083
782,Jawa Timur,6/10/2024,16.72,15.62,2112
783,Jawa Timur,6/11/2024,16.58,15.67,2104
784,Jawa Timur,6/12/2024,16.58,15.66,2111
785,Jawa Timur,6/13/2024,16.53,15.58,2118
786,Jawa Timur,6/14/2024,16.53,15.72,2118
787,Jawa Timur,6/15/2024,16.52,15.68,2123
788,Jawa Timur,6/16/2024,16.53,15.66,2108
789,Jawa Timur,6/17/2024,14.73,15.75,2118
790,Jawa Timur,6/18/2024,16.48,14.82,2113
791,Jawa Timur,6/19/2024,16.5,15.67,2106
792,Jawa Timur,6/20/2024,16.55,15.71,2103
793,Jawa Timur,6/21/2024,16.52,15.64,2234
794,Jawa Timur,6/22/2024,16.58,15.7,2100
795,Jawa Timur,6/23/2024,16.5,15.81,2091
796,Jawa Timur,6/24/2024,16.57,15.81,2101
797,Jawa Timur,6/25/2024,16.53,15.69,2122
798,Jawa Timur,6/26/2024,16.5,15.7,2105
799,Jawa Timur,6/27/2024,16.52,15.68,2111
800,Jawa Timur,6/28/2024,16.6,15.71,2118
801,Jawa Timur,6/29/2024,16.5,15.67,2122
802,Jawa Timur,6/30/2024,16.44,15.67,2118
803,Jawa Timur,7/1/2024,16.55,15.76,2132
804,Jawa Timur,7/2/2024,16.45,15.72,2132
805,Jawa Timur,7/3/2024,16.54,15.73,2144
806,Jawa Timur,7/4/2024,16.56,15.71,2149
807,Jawa Timur,7/5/2024,16.55,15.63,2150
808,Jawa Timur,7/6/2024,16.6,15.81,2147
809,Jawa Timur,7/7/2024,16.64,15.8,2143
810,Jawa Timur,7/8/2024,16.62,15.65,2154
811,Jawa Timur,7/9/2024,16.52,15.64,2155
812,Jawa Timur,7/10/2024,16.5,15.8,2154
813,Jawa Timur,7/11/2024,16.55,15.72,2151
814,Jawa Timur,7/12/2024,16.63,15.85,2151
815,Jawa Timur,7/13/2024,16.59,15.81,2155
816,Jawa Timur,7/14/2024,16.51,15.73,2151
817,Jawa Timur,7/15/2024,16.55,15.85,2159
818,Jawa Timur,7/16/2024,16.49,15.76,2165
819,Jawa Timur,7/17/2024,16.63,15.84,2164
820,Jawa Timur,7/18/2024,16.55,15.77,2135
821,Jawa Timur,7/19/2024,16.53,15.8,2155
822,Jawa Timur,7/20/2024,16.54,15.76,2159
823,Jawa Timur,7/21/2024,16.49,15.93,2159
824,Jawa Timur,7/22/2024,16.48,15.83,2158
825,Jawa Timur,7/23/2024,16.55,15.82,2151
826,Jawa Timur,7/24/2024,16.58,15.88,2171
827,Jawa Timur,7/25/2024,16.65,15.96,2152
828,Jawa Timur,7/26/2024,16.49,15.93,2162
829,Jawa Timur,7/27/2024,16.6,15.96,2170
830,Jawa Timur,7/28/2024,16.49,15.96,2165
831,Jawa Timur,7/29/2024,16.51,15.83,2171
832,Jawa Timur,7/30/2024,16.54,15.87,2174
833,Jawa Timur,7/31/2024,16.53,15.84,2178
834,Jawa Timur,8/1/2024,16.52,15.82,2163
835,Jawa Timur,8/2/2024,16.52,15.84,2275
836,Jawa Timur,8/3/2024,16.68,15.89,2175
837,Jawa Timur,8/4/2024,16.47,16.01,2172
838,Jawa Timur,8/5/2024,16.66,15.9,2176
839,Jawa Timur,8/6/2024,16.58,15.92,2171
840,Jawa Timur,8/7/2024,16.61,15.98,2185
841,Jawa Timur,8/8/2024,16.63,15.91,2186
842,Jawa Timur,8/9/2024,16.63,15.94,2200
843,Jawa Timur,8/10/2024,16.61,16.13,2200
844,Jawa Timur,8/11/2024,16.72,15.9,2198
845,Jawa Timur,8/12/2024,16.71,15.98,2194
846,Jawa Timur,8/13/2024,16.62,15.87,2168
847,Jawa Timur,8/14/2024,16.68,16,2205
848,Jawa Timur,8/15/2024,16.63,15.94,2205
849,Jawa Timur,8/16/2024,16.57,16.01,2202
850,Jawa Timur,8/17/2024,16.68,15.99,2203
851,Jawa Timur,8/18/2024,16.63,16.13,2201
852,Jawa Timur,8/19/2024,16.81,15.99,2190
853,Jawa Timur,8/20/2024,16.68,16,2191
854,Jawa Timur,8/21/2024,16.77,15.99,2196
855,Jawa Timur,8/22/2024,16.77,16.08,2196
856,Jawa Timur,8/23/2024,16.65,15.96,2205
857,Jawa Timur,8/24/2024,16.68,16.02,2212
858,Jawa Timur,8/25/2024,16.7,16.04,2204
859,Jawa Timur,8/26/2024,16.65,15.98,2204
860,Jawa Timur,8/27/2024,16.75,16.01,2204
861,Jawa Timur,8/28/2024,16.66,16.01,2203
862,Jawa Timur,8/29/2024,16.8,15.97,2199
863,Jawa Timur,8/30/2024,16.69,16.01,2196
864,Jawa Timur,8/31/2024,16.77,15.92,2171
865,Jawa Timur,9/1/2024,16.71,16.06,2203
866,Jawa Timur,9/2/2024,16.8,16.13,2204
867,Jawa Timur,9/3/2024,16.78,16.07,2170
868,Jawa Timur,9/4/2024,16.74,16.14,2244
869,Jawa Timur,9/5/2024,16.67,15.94,2200
870,Jawa Timur,9/6/2024,16.75,15.98,2212
871,Jawa Timur,9/7/2024,16.86,16.04,2211
872,Jawa Timur,9/8/2024,16.88,16.06,2208
873,Jawa Timur,9/9/2024,16.83,16.09,2220
874,Jawa Timur,9/10/2024,16.86,16.22,2219
875,Jawa Timur,9/11/2024,16.8,16.2,2210
876,Jawa Timur,9/12/2024,16.86,16.18,2265
877,Jawa Timur,9/13/2024,16.89,16.06,2223
878,Jawa Timur,9/14/2024,16.94,16.22,2212
879,Jawa Timur,9/15/2024,16.92,16.13,2211
880,Jawa Timur,9/16/2024,16.86,16.09,2228
881,Jawa Timur,9/17/2024,16.98,16.18,2226
882,Jawa Timur,9/18/2024,16.9,16.11,2220
883,Jawa Timur,9/19/2024,16.87,16.11,2212
884,Jawa Timur,9/20/2024,16.85,16.25,2221
885,Jawa Timur,9/21/2024,16.9,16.19,2224
886,Jawa Timur,9/22/2024,16.85,16.17,2217
887,Jawa Timur,9/23/2024,16.97,16.2,2233
888,Jawa Timur,9/24/2024,16.94,16.28,2235
889,Jawa Timur,9/25/2024,16.98,16.37,2241
890,Jawa Timur,9/26/2024,16.96,16.24,2532
891,Jawa Timur,9/27/2024,17.27,16.27,2544
892,Jawa Timur,9/28/2024,16.98,16.37,2542
893,Jawa Timur,9/29/2024,16.96,16.25,2545
894,Jawa Timur,9/30/2024,17.02,16.33,2539
895,Jawa Timur,10/1/2024,16.96,16.22,2313
896,Jawa Timur,10/2/2024,16.93,16.24,2309
