No.,Lokasi,tanggal,Minyak_Goreng_Kemasan,Minyak_Goreng_Curah,Kelapa_Sawit
119,Jawa Timur,8/17/2022,18.49,13.5,1222
120,Jawa Timur,8/18/2022,18.53,13.47,1229
121,Jawa Timur,8/19/2022,18.48,13.47,1237
122,Jawa Timur,8/20/2022,18.25,13.4,1269
123,Jawa Timur,8/21/2022,18.3,13.45,1244
124,Jawa Timur,8/22/2022,18.29,13.42,1293
125,Jawa Timur,8/23/2022,18.37,13.59,1257
126,Jawa Timur,8/24/2022,17.96,13.48,1297
127,Jawa Timur,8/25/2022,18.15,13.52,1347
128,Jawa Timur,8/26/2022,17.89,13.31,1330
129,Jawa Timur,8/27/2022,18.31,13.44,1380
130,Jawa Timur,8/28/2022,18.33,13.52,1409
131,Jawa Timur,8/29/2022,18.5,13.54,1341
132,Jawa Timur,8/30/2022,18.17,13.54,1396
133,Jawa Timur,8/31/2022,18.11,13.43,1387
134,Jawa Timur,9/1/2022,18.02,13.48,1417
135,Jawa Timur,9/2/2022,18.07,13.41,1534
136,Jawa Timur,9/3/2022,17.96,13.31,1407
137,Jawa Timur,9/4/2022,18.38,13.65,1431
138,Jawa Timur,9/5/2022,18.37,13.43,1415
139,Jawa Timur,9/6/2022,18.37,13.4,1534
140,Jawa Timur,9/7/2022,18.3,13.5,1461
141,Jawa Timur,9/8/2022,18.04,13.48,1429
142,Jawa Timur,9/9/2022,18.03,13.44,1430
143,Jawa Timur,9/10/2022,18.17,13.48,1459
144,Jawa Timur,9/11/2022,18.39,13.48,1433
145,Jawa Timur,9/12/2022,17.96,13.48,1423
146,Jawa Timur,9/13/2022,18,13.44,1438
147,Jawa Timur,9/14/2022,17.78,13.38,1465
148,Jawa Timur,9/15/2022,18.05,13.48,1605
149,Jawa Timur,9/16/2022,18.21,13.39,1465
150,Jawa Timur,9/17/2022,17.98,13.48,1649
151,Jawa Timur,9/18/2022,18.19,13.42,1842
152,Jawa Timur,9/19/2022,17.89,13.57,1455
153,Jawa Timur,9/20/2022,17.93,13.36,1486
154,Jawa Timur,9/21/2022,17.78,13.29,1524
155,Jawa Timur,9/22/2022,17.24,13.35,1516
156,Jawa Timur,9/23/2022,18,13.37,1519
157,Jawa Timur,9/24/2022,17.9,13.22,1502
158,Jawa Timur,9/25/2022,17.98,13.26,1526
159,Jawa Timur,9/26/2022,17.67,13.37,1496
160,Jawa Timur,9/27/2022,17.71,13.11,1508
161,Jawa Timur,9/28/2022,17.39,13.48,1532
162,Jawa Timur,9/29/2022,17.45,13.43,1487
163,Jawa Timur,9/30/2022,17.65,13.16,1461
164,Jawa Timur,10/1/2022,17.76,13.23,1513
165,Jawa Timur,10/2/2022,17.82,13.21,1521
166,Jawa Timur,10/3/2022,16.95,13.16,1503
167,Jawa Timur,10/4/2022,17.05,13.2,1509
168,Jawa Timur,10/5/2022,16.73,13.13,1551
169,Jawa Timur,10/6/2022,16.95,13.05,1517
170,Jawa Timur,10/7/2022,16.64,13.07,1518
171,Jawa Timur,10/8/2022,16.56,12.98,1529
172,Jawa Timur,10/9/2022,16.52,13.12,1548
173,Jawa Timur,10/10/2022,16.8,13.05,1523
174,Jawa Timur,10/11/2022,16.53,13.08,1551
175,Jawa Timur,10/12/2022,16.63,13.28,1585
176,Jawa Timur,10/13/2022,16.72,13.11,1567
177,Jawa Timur,10/14/2022,16.71,13.18,1561
178,Jawa Timur,10/15/2022,16.69,13.14,1581
179,Jawa Timur,10/16/2022,16.68,13.11,1576
180,Jawa Timur,10/17/2022,16.5,13.2,1581
